"pk11raw","pk21raw","pk31raw","pk41raw","pk51raw","pk12raw","pk22raw","pk32raw","pk42raw","pk52raw","female"
NA,NA,NA,NA,NA,0,0,1,1,NA,1
1,NA,1,1,0,1,1,1,NA,NA,1
0,1,1,1,0,1,0,1,1,1,0
1,NA,1,1,1,1,1,1,1,1,1
NA,NA,1,1,NA,1,0,1,NA,NA,1
1,NA,1,0,NA,1,1,1,1,NA,0
1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,0
NA,1,1,NA,1,1,0,1,NA,NA,0
1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,NA,0,0
NA,1,1,1,1,1,1,1,0,1,1
NA,NA,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,0,NA,NA,1,1,NA,NA,0,NA,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
NA,0,1,0,1,1,NA,0,1,1,0
1,1,1,NA,1,1,NA,1,1,1,0
0,0,1,1,NA,1,1,1,1,NA,0
1,NA,1,1,1,1,1,1,1,NA,0
0,NA,1,1,1,1,1,1,1,1,0
NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
NA,NA,1,1,NA,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,NA,1,0,1,0,1,1
1,0,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,0
0,1,1,1,0,1,1,1,1,0,1
NA,0,1,0,0,1,NA,1,1,1,1
NA,NA,1,NA,1,1,NA,1,NA,1,1
NA,1,1,1,1,1,NA,1,1,1,1
1,0,1,0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,0
1,NA,1,1,0,1,1,1,1,1,1
1,1,1,NA,NA,1,NA,1,NA,1,0
1,1,1,NA,1,1,1,1,1,1,1
NA,NA,1,NA,1,1,1,1,NA,1,0
NA,NA,1,0,1,1,1,1,NA,1,0
1,1,1,1,0,1,1,1,1,1,0
NA,NA,1,1,1,NA,NA,NA,NA,NA,0
1,1,1,1,1,1,1,1,1,1,0
NA,0,1,1,0,1,NA,1,1,1,0
1,NA,1,NA,1,1,1,1,1,NA,1
NA,NA,1,1,NA,NA,1,1,NA,NA,1
0,NA,0,1,0,1,1,0,1,NA,0
1,1,1,1,0,1,1,1,1,0,1
1,NA,1,NA,1,1,0,0,NA,1,1
1,1,1,1,NA,1,0,NA,NA,1,0
NA,NA,1,NA,NA,NA,NA,0,NA,0,1
1,NA,1,0,1,1,0,1,1,NA,0
NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,1,1,NA,NA,NA,NA,NA,NA,1
1,1,1,1,NA,NA,NA,NA,NA,NA,0
NA,NA,1,1,NA,NA,NA,NA,NA,NA,1
NA,NA,1,NA,NA,1,1,1,1,NA,1
1,1,1,1,0,1,NA,1,1,1,1
0,1,0,1,1,NA,NA,NA,NA,NA,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,NA,1,1,1,1,0,1
1,1,1,NA,1,1,NA,1,NA,1,0
1,NA,1,NA,NA,1,NA,1,1,0,1
NA,NA,1,1,NA,1,NA,1,1,NA,1
NA,NA,1,1,0,1,1,NA,NA,NA,1
1,1,1,1,0,1,0,0,0,1,0
NA,NA,NA,NA,NA,0,1,NA,0,0,1
1,NA,1,1,NA,1,1,1,1,NA,0
NA,NA,NA,NA,NA,1,0,1,1,NA,0
NA,NA,NA,1,NA,1,NA,NA,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,0,1,1,1,1,1,1
0,0,1,1,1,1,0,1,0,1,0
NA,NA,NA,NA,1,NA,NA,NA,NA,0,1
NA,1,0,1,1,0,0,1,1,1,1
1,NA,1,1,1,1,NA,1,1,1,0
1,NA,1,1,0,1,1,1,1,0,0
1,NA,NA,1,NA,1,0,NA,NA,NA,1
NA,NA,NA,1,NA,1,1,1,1,1,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,1,1,1,NA,1,1,1,1,0
NA,NA,1,NA,0,1,1,0,1,1,1
0,1,1,1,NA,1,1,1,1,1,0
NA,1,1,1,1,1,1,1,1,1,1
1,0,NA,1,0,1,1,1,1,1,1
NA,NA,NA,0,0,1,NA,0,0,1,1
1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,0,1,1
NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
NA,1,NA,1,1,1,1,1,0,1,1
1,1,1,NA,1,1,0,1,NA,1,0
1,0,1,1,0,1,NA,0,1,0,0
NA,NA,NA,NA,NA,1,NA,1,1,NA,1
NA,0,NA,1,0,1,NA,0,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
NA,NA,1,1,NA,1,0,1,1,1,1
