"t1q19raw","t1q20raw","t1q21raw","t1q22raw","t1q23raw","t1q24raw","t1q25raw","t1q26raw","t2q19raw","t2q20raw","t2q21raw","t2q22raw","t2q23raw","t2q24raw","t2q25raw","t2q26raw","female"
NA,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1
NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0
FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,0
NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,TRUE,NA,FALSE,NA,FALSE,1
NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,NA,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,1
NA,FALSE,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0
NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,1
NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1
NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1
NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,NA,NA,NA,NA,1
NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,1
NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,NA,NA,NA,NA,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
NA,FALSE,TRUE,TRUE,NA,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,1
NA,FALSE,TRUE,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,1
NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0
NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,1
NA,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,1
NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,1
FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,FALSE,0
NA,NA,TRUE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,1
NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1
NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,1
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,FALSE,1
NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,0
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,1
FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,1
FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0
NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,1
NA,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,TRUE,NA,FALSE,1
NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,1
NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,1
