poll,respondents,items,raw,lca,standard,proportion_fit
Australia Constitutional Referendum,347,10,0.28357348703170027,0.4391002423512003,0.34505611027339356,0.5
BTP 2004 Primaries,328,7,0.027439024390243903,0.06005500269848432,0.034151975315062325,0.2857142857142857
BTP 2004 General Election,250,9,0.07066666666666667,0.08881376628595487,0.0837037037037037,0.7777777777777778
BTP 2005,454,6,0.035242290748898675,0.054036841168285735,0.03946082728793624,0.5
BTP 2007,301,8,0.11212624584717608,0.1264237048694807,0.12209302325581396,0.75
Bulgaria,278,7,0.09301130524152107,0.08218150930859909,0.0750256937307297,0.8571428571428571
California Referendum,401,5,0.21097256857855362,0.2862148573365082,0.23105668664160495,0.8
CPL,216,7,0.1607142857142857,0.18957612514304525,0.15513733465210308,0.7142857142857143
Denmark,363,9,0.2105907560453015,0.3589667821285409,0.2931708311745566,0.8888888888888888
EU 2007,335,11,0.18181818181818182,0.2287353832359652,0.2055630936227951,0.9090909090909091
EU 2009,348,6,0.1657088122605364,0.18235211385938538,0.17512771392081736,0.8333333333333334
Northern Ireland,124,7,0.2857142857142857,0.3232675064457162,0.3370490733895725,1
Michigan,310,9,0.0978494623655914,0.08756869027615034,0.08243644050095662,0.8888888888888888
NIC,466,8,0.09146995708154507,0.1932754286576833,0.11586416922849503,0.5
San Mateo,239,8,0.11349372384937238,0.12113268957916867,0.09579846582984658,0.75
SWEPCO,232,5,0.2025862068965517,0.23312677813277502,0.22164913397000482,0.6
UK BGE,275,15,0.10278787878787879,0.1906830569397636,0.15745454545454543,0.7333333333333333
UK Crime,299,7,0.09460105112279026,0.14176923725231186,0.10224558050645007,0.7142857142857143
UK EU,224,5,0.20267857142857143,0.2754762571274903,0.24375000000000002,0.6
UK Health,230,6,0.07898550724637682,0.12202948637183536,0.13405797101449277,0.8333333333333334
UK Monarchy,258,8,0.15213178294573643,0.21172437695972662,0.20881782945736435,1
Vermont,146,9,0.3972602739726027,0.43943473728033444,0.39973363774733633,0.8888888888888888
WTU,230,5,0.28782608695652173,0.347229557075152,0.3287243492491362,0.8
