metric,paper,deposit,paper_page,current_guess,deposit_difference,current_difference
"Mean alpha, T1",0.495,0.4952821634399073,17,0.4951926876191776,2.821634399072792e-4,1.9268761917762278e-4
"Mean alpha, T2",0.561,0.5605833655815322,17,0.5606561055684369,-4.1663441846784277e-4,-3.438944315631298e-4
Polls with alpha increase,18,18,17,18,0,0
Mean raw learning,0.158,0.1579035460875426,16,0.15790354608754256,-9.645391245741153e-5,-9.645391245743928e-5
Mean LCA learning,0.21,0.21027242475530689,18,0.21016687254330585,2.724247553068937e-4,1.668725433058571e-4
Mean standard-correction learning,0.182,0.1824215268955629,18,0.1824215268955629,4.21526895562907e-4,4.21526895562907e-4
Items where LCA exceeds raw,0.785,0.807909604519774,18,0.8022598870056498,0.022909604519773974,0.017259887005649732
Items where standard correction exceeds raw,0.65,0.6497175141242938,18,0.6497175141242938,-2.8248587570622874e-4,-2.8248587570622874e-4
Items fitting LCA,0.831,0.831,23,0.751412429378531,0,-0.07958757062146893
Male-minus-female T1 raw knowledge gap,0.067,0.06957169524872013,21,0.06957169524872012,0.0025716952487201267,0.002571695248720113
Male-minus-female T1 LCA knowledge gap,0.039,0.03913817367125555,21,0.03919826625637821,1.3817367125554952e-4,1.9826625637821282e-4
Male-minus-female raw learning gap,-0.022,-0.02213001860228294,20,-0.02213001860228296,-1.3001860228294138e-4,-1.300186022829622e-4
Male-minus-female LCA learning gap,-0.007,-0.00546266553339888,20,-0.005521950096289737,0.0015373344666011202,0.0014780499037102632
